Date(TimeStamp),Time(TimeStamp),TimeStamp,GantryFrom,GantryTo,avg(Speed),sum(Volume)
2025-01-04,00:00:00,"2025-01-04 00:00:00",05F0055N,05F0001N,79,38
2025-01-04,00:05:00,"2025-01-04 00:05:00",05F0055N,05F0001N,83.33333333333333,27
2025-01-04,00:10:00,"2025-01-04 00:10:00",05F0055N,05F0001N,80,43
2025-01-04,00:15:00,"2025-01-04 00:15:00",05F0055N,05F0001N,84,38
2025-01-04,00:20:00,"2025-01-04 00:20:00",05F0055N,05F0001N,84,27
2025-01-04,00:25:00,"2025-01-04 00:25:00",05F0055N,05F0001N,83.33333333333333,29
2025-01-04,00:30:00,"2025-01-04 00:30:00",05F0055N,05F0001N,82,31
2025-01-04,00:35:00,"2025-01-04 00:35:00",05F0055N,05F0001N,83,28
2025-01-04,00:40:00,"2025-01-04 00:40:00",05F0055N,05F0001N,88,29
2025-01-04,00:45:00,"2025-01-04 00:45:00",05F0055N,05F0001N,86,18
2025-01-04,00:50:00,"2025-01-04 00:50:00",05F0055N,05F0001N,82,50
2025-01-04,00:55:00,"2025-01-04 00:55:00",05F0055N,05F0001N,84,18
2025-01-04,01:00:00,"2025-01-04 01:00:00",05F0055N,05F0001N,84,22
2025-01-04,01:05:00,"2025-01-04 01:05:00",05F0055N,05F0001N,85.33333333333333,26
2025-01-04,01:10:00,"2025-01-04 01:10:00",05F0055N,05F0001N,89,27
2025-01-04,01:15:00,"2025-01-04 01:15:00",05F0055N,05F0001N,86,19
2025-01-04,01:20:00,"2025-01-04 01:20:00",05F0055N,05F0001N,85,26
2025-01-04,01:25:00,"2025-01-04 01:25:00",05F0055N,05F0001N,76,24
2025-01-04,01:30:00,"2025-01-04 01:30:00",05F0055N,05F0001N,85,27
2025-01-04,01:35:00,"2025-01-04 01:35:00",05F0055N,05F0001N,88,20
2025-01-04,01:40:00,"2025-01-04 01:40:00",05F0055N,05F0001N,88,21
2025-01-04,01:45:00,"2025-01-04 01:45:00",05F0055N,05F0001N,86,17
2025-01-04,01:50:00,"2025-01-04 01:50:00",05F0055N,05F0001N,82.33333333333333,29
2025-01-04,01:55:00,"2025-01-04 01:55:00",05F0055N,05F0001N,86,20
2025-01-04,02:00:00,"2025-01-04 02:00:00",05F0055N,05F0001N,61,10
2025-01-04,02:05:00,"2025-01-04 02:05:00",05F0055N,05F0001N,82.5,22
2025-01-04,02:10:00,"2025-01-04 02:10:00",05F0055N,05F0001N,83.66666666666667,25
2025-01-04,02:15:00,"2025-01-04 02:15:00",05F0055N,05F0001N,82,25
2025-01-04,02:20:00,"2025-01-04 02:20:00",05F0055N,05F0001N,80,13
2025-01-04,02:25:00,"2025-01-04 02:25:00",05F0055N,05F0001N,80,21
2025-01-04,02:30:00,"2025-01-04 02:30:00",05F0055N,05F0001N,79,21
2025-01-04,02:35:00,"2025-01-04 02:35:00",05F0055N,05F0001N,83,11
2025-01-04,02:40:00,"2025-01-04 02:40:00",05F0055N,05F0001N,83,15
2025-01-04,02:45:00,"2025-01-04 02:45:00",05F0055N,05F0001N,84,8
2025-01-04,02:50:00,"2025-01-04 02:50:00",05F0055N,05F0001N,85,19
2025-01-04,02:55:00,"2025-01-04 02:55:00",05F0055N,05F0001N,79.5,15
2025-01-04,03:00:00,"2025-01-04 03:00:00",05F0055N,05F0001N,86,22
2025-01-04,03:05:00,"2025-01-04 03:05:00",05F0055N,05F0001N,82,24
2025-01-04,03:10:00,"2025-01-04 03:10:00",05F0055N,05F0001N,85,9
2025-01-04,03:15:00,"2025-01-04 03:15:00",05F0055N,05F0001N,82.33333333333333,19
2025-01-04,03:20:00,"2025-01-04 03:20:00",05F0055N,05F0001N,87,23
2025-01-04,03:25:00,"2025-01-04 03:25:00",05F0055N,05F0001N,88,21
2025-01-04,03:30:00,"2025-01-04 03:30:00",05F0055N,05F0001N,86,15
2025-01-04,03:35:00,"2025-01-04 03:35:00",05F0055N,05F0001N,78,21
2025-01-04,03:40:00,"2025-01-04 03:40:00",05F0055N,05F0001N,84,22
2025-01-04,03:45:00,"2025-01-04 03:45:00",05F0055N,05F0001N,84,12
2025-01-04,03:50:00,"2025-01-04 03:50:00",05F0055N,05F0001N,86,16
2025-01-04,03:55:00,"2025-01-04 03:55:00",05F0055N,05F0001N,90,14
2025-01-04,04:00:00,"2025-01-04 04:00:00",05F0055N,05F0001N,88,20
2025-01-04,04:05:00,"2025-01-04 04:05:00",05F0055N,05F0001N,86,20
2025-01-04,04:10:00,"2025-01-04 04:10:00",05F0055N,05F0001N,84.66666666666667,14
2025-01-04,04:15:00,"2025-01-04 04:15:00",05F0055N,05F0001N,86.5,11
2025-01-04,04:20:00,"2025-01-04 04:20:00",05F0055N,05F0001N,91.5,21
2025-01-04,04:25:00,"2025-01-04 04:25:00",05F0055N,05F0001N,82.5,13
2025-01-04,04:30:00,"2025-01-04 04:30:00",05F0055N,05F0001N,84,17
2025-01-04,04:35:00,"2025-01-04 04:35:00",05F0055N,05F0001N,90.5,13
2025-01-04,04:40:00,"2025-01-04 04:40:00",05F0055N,05F0001N,90,17
2025-01-04,04:45:00,"2025-01-04 04:45:00",05F0055N,05F0001N,89.5,16
2025-01-04,04:50:00,"2025-01-04 04:50:00",05F0055N,05F0001N,88,20
2025-01-04,04:55:00,"2025-01-04 04:55:00",05F0055N,05F0001N,85.5,16
2025-01-04,05:00:00,"2025-01-04 05:00:00",05F0055N,05F0001N,84,13
2025-01-04,05:05:00,"2025-01-04 05:05:00",05F0055N,05F0001N,85,21
2025-01-04,05:10:00,"2025-01-04 05:10:00",05F0055N,05F0001N,86,20
2025-01-04,05:15:00,"2025-01-04 05:15:00",05F0055N,05F0001N,88,20
2025-01-04,05:20:00,"2025-01-04 05:20:00",05F0055N,05F0001N,80.5,17
2025-01-04,05:25:00,"2025-01-04 05:25:00",05F0055N,05F0001N,87.33333333333333,20
2025-01-04,05:30:00,"2025-01-04 05:30:00",05F0055N,05F0001N,85,19
2025-01-04,05:35:00,"2025-01-04 05:35:00",05F0055N,05F0001N,82,13
2025-01-04,05:40:00,"2025-01-04 05:40:00",05F0055N,05F0001N,80,32
2025-01-04,05:45:00,"2025-01-04 05:45:00",05F0055N,05F0001N,90.5,27
2025-01-04,05:50:00,"2025-01-04 05:50:00",05F0055N,05F0001N,90.5,21
2025-01-04,05:55:00,"2025-01-04 05:55:00",05F0055N,05F0001N,74,24
2025-01-04,06:00:00,"2025-01-04 06:00:00",05F0055N,05F0001N,86,27
2025-01-04,06:05:00,"2025-01-04 06:05:00",05F0055N,05F0001N,87.33333333333333,33
2025-01-04,06:10:00,"2025-01-04 06:10:00",05F0055N,05F0001N,85.66666666666667,32
2025-01-04,06:15:00,"2025-01-04 06:15:00",05F0055N,05F0001N,84.33333333333333,50
2025-01-04,06:20:00,"2025-01-04 06:20:00",05F0055N,05F0001N,87,45
2025-01-04,06:25:00,"2025-01-04 06:25:00",05F0055N,05F0001N,90,42
2025-01-04,06:30:00,"2025-01-04 06:30:00",05F0055N,05F0001N,84.33333333333333,57
2025-01-04,06:35:00,"2025-01-04 06:35:00",05F0055N,05F0001N,86,60
2025-01-04,06:40:00,"2025-01-04 06:40:00",05F0055N,05F0001N,86,39
2025-01-04,06:45:00,"2025-01-04 06:45:00",05F0055N,05F0001N,90,57
2025-01-04,06:50:00,"2025-01-04 06:50:00",05F0055N,05F0001N,86,57
2025-01-04,06:55:00,"2025-01-04 06:55:00",05F0055N,05F0001N,83.25,74
2025-01-04,07:00:00,"2025-01-04 07:00:00",05F0055N,05F0001N,83.66666666666667,87
2025-01-04,07:05:00,"2025-01-04 07:05:00",05F0055N,05F0001N,81,78
2025-01-04,07:10:00,"2025-01-04 07:10:00",05F0055N,05F0001N,82.33333333333333,93
2025-01-04,07:15:00,"2025-01-04 07:15:00",05F0055N,05F0001N,83,84
2025-01-04,07:20:00,"2025-01-04 07:20:00",05F0055N,05F0001N,83.33333333333333,94
2025-01-04,07:25:00,"2025-01-04 07:25:00",05F0055N,05F0001N,81.66666666666667,106
2025-01-04,07:30:00,"2025-01-04 07:30:00",05F0055N,05F0001N,81,85
2025-01-04,07:35:00,"2025-01-04 07:35:00",05F0055N,05F0001N,78.66666666666667,116
2025-01-04,07:40:00,"2025-01-04 07:40:00",05F0055N,05F0001N,81,108
2025-01-04,07:45:00,"2025-01-04 07:45:00",05F0055N,05F0001N,81.66666666666667,84
2025-01-04,07:50:00,"2025-01-04 07:50:00",05F0055N,05F0001N,85.25,74
2025-01-04,07:55:00,"2025-01-04 07:55:00",05F0055N,05F0001N,87.33333333333333,97
2025-01-04,08:00:00,"2025-01-04 08:00:00",05F0055N,05F0001N,84.33333333333333,70
2025-01-04,08:05:00,"2025-01-04 08:05:00",05F0055N,05F0001N,84.66666666666667,85
2025-01-04,08:10:00,"2025-01-04 08:10:00",05F0055N,05F0001N,82.33333333333333,64
2025-01-04,08:15:00,"2025-01-04 08:15:00",05F0055N,05F0001N,72.66666666666667,103
2025-01-04,08:20:00,"2025-01-04 08:20:00",05F0055N,05F0001N,84.66666666666667,89
2025-01-04,08:25:00,"2025-01-04 08:25:00",05F0055N,05F0001N,83.66666666666667,80
2025-01-04,08:30:00,"2025-01-04 08:30:00",05F0055N,05F0001N,78.33333333333333,94
2025-01-04,08:35:00,"2025-01-04 08:35:00",05F0055N,05F0001N,86,107
2025-01-04,08:40:00,"2025-01-04 08:40:00",05F0055N,05F0001N,81,101
2025-01-04,08:45:00,"2025-01-04 08:45:00",05F0055N,05F0001N,81,115
2025-01-04,08:50:00,"2025-01-04 08:50:00",05F0055N,05F0001N,81,106
2025-01-04,08:55:00,"2025-01-04 08:55:00",05F0055N,05F0001N,84.66666666666667,90
2025-01-04,09:00:00,"2025-01-04 09:00:00",05F0055N,05F0001N,82.33333333333333,122
2025-01-04,09:05:00,"2025-01-04 09:05:00",05F0055N,05F0001N,86,75
2025-01-04,09:10:00,"2025-01-04 09:10:00",05F0055N,05F0001N,78.66666666666667,133
2025-01-04,09:15:00,"2025-01-04 09:15:00",05F0055N,05F0001N,81,134
2025-01-04,09:20:00,"2025-01-04 09:20:00",05F0055N,05F0001N,80.33333333333333,102
2025-01-04,09:25:00,"2025-01-04 09:25:00",05F0055N,05F0001N,79.33333333333333,121
2025-01-04,09:30:00,"2025-01-04 09:30:00",05F0055N,05F0001N,81,101
2025-01-04,09:35:00,"2025-01-04 09:35:00",05F0055N,05F0001N,82.33333333333333,127
2025-01-04,09:40:00,"2025-01-04 09:40:00",05F0055N,05F0001N,79.66666666666667,108
2025-01-04,09:45:00,"2025-01-04 09:45:00",05F0055N,05F0001N,82.33333333333333,146
2025-01-04,09:50:00,"2025-01-04 09:50:00",05F0055N,05F0001N,78.66666666666667,105
2025-01-04,09:55:00,"2025-01-04 09:55:00",05F0055N,05F0001N,79.66666666666667,123
2025-01-04,10:00:00,"2025-01-04 10:00:00",05F0055N,05F0001N,81,122
2025-01-04,10:05:00,"2025-01-04 10:05:00",05F0055N,05F0001N,77.66666666666667,160
2025-01-04,10:10:00,"2025-01-04 10:10:00",05F0055N,05F0001N,79.66666666666667,139
2025-01-04,10:15:00,"2025-01-04 10:15:00",05F0055N,05F0001N,82.33333333333333,128
2025-01-04,10:20:00,"2025-01-04 10:20:00",05F0055N,05F0001N,81.66666666666667,141
2025-01-04,10:25:00,"2025-01-04 10:25:00",05F0055N,05F0001N,80,116
2025-01-04,10:30:00,"2025-01-04 10:30:00",05F0055N,05F0001N,82,141
2025-01-04,10:35:00,"2025-01-04 10:35:00",05F0055N,05F0001N,79.66666666666667,128
2025-01-04,10:40:00,"2025-01-04 10:40:00",05F0055N,05F0001N,77.33333333333333,135
2025-01-04,10:45:00,"2025-01-04 10:45:00",05F0055N,05F0001N,78.66666666666667,163
2025-01-04,10:50:00,"2025-01-04 10:50:00",05F0055N,05F0001N,79.66666666666667,127
2025-01-04,10:55:00,"2025-01-04 10:55:00",05F0055N,05F0001N,80,168
2025-01-04,11:00:00,"2025-01-04 11:00:00",05F0055N,05F0001N,74.66666666666667,134
2025-01-04,11:05:00,"2025-01-04 11:05:00",05F0055N,05F0001N,77,143
